a	ⴰ
pardon	ⵙⵓⵔⴻⴼ
parents	ⵉⵎⴰⵡⵍⴰⵏ
park	ⵡⴻⴼⵔⴰⴳ
parrot	ⴱⴰⴱⴰⵖⴰⵢⵓ
parsley	ⵍⵎⴻⵄⴷⵏⵓⵙ
part	ⴰⵎⵓⵔ
participate	ⵜⵜⴻⴽⴽⵉ
particular	ⵙ ⵓⵎⴰⵜⴰ
particularly	ⵍⴰⴷⵖⴰ
partner	ⴰⵎⴷⴷⴰⴽⴻⵍ
party	ⵜⴰⵎⴻⵖⵔⴰ
pass	ⴰⴷ ⴷⵯⵢⴻⴼⴼⴻⵖ
passage	ⴰⵄⴻⴷⴷⵉ
passed	ⵢⴻⴽⴽⴰ
passion	ⵍⴻⵀⵏⴰ
passionate	ⵜⴻⵔⵃⴰ
passive	ⴰⵜⵡⴰⵖ
password	ⴰⵡⴰⵍ ⵏ ⵓⴼⴼⵉⵔ
past	ⴰⵢⴻⵏ ⵉⵄⴻⴷⴷⴰⵏ
patch	ⴰⵛⴻⵔⵔⵉⴳ
path	ⴰⴱⵔⵉⴷ
pathetic	ⴷ ⴰⵢⴻⵏ ⵉⵇⴻⵔⵃⴻⵏ
patience	ⵚⵚⴱⴻⵔ
patient	ⴰⵙⴻⴱⴱⴰⵔ
patient	ⴰⵎⴰⵟⵓⵏ
pattern	ⴰⵎⵓⵙⵙⵓ
pause	ⴰⵃⴱⴰⵙ
pavement	ⵜⴰⵏⴻⴷⴷⵓⵜ
pay	ⵅⴻⵍⵍⴻⵚ
payment	ⴰⵅⴻⵍⵍⴻⵙ
peace	ⵜⴰⵍⵡⵉⵜ
peaceful	ⵜⴰⵍⵡⵉⵜ
peach	ⵜⴰⵅⵓⵅⴻⵜ
peak	ⵜⴰⵙⴻⵎⵀⵓⵢⵜ
pear	ⵉⴼⵉⵔⴻⵙ
peas	ⵜⴰⵊⵉⵍⴱⴰⵏⴻⵜ
peculiar	ⵉⵥⵍⵉⵏ
pee	ⵢⴻⵅⵕⴰ
pee	ⵉⵣⴰⵏ
peel	ⵙⵙⴻⵇⵛⴻⵔ
peer	ⵢⴻⵔⴼⵉⵇⴻⵏ
peers	ⵉⵎⴷⵓⴽⴽⴰⵍ
pen	ⴰⵙⴻⴱⵜⴻⵔ
pencil	ⵉⵎⵔⵓ
pending	ⴰⵔ ⵎⴰⵔⴰ
people	ⵉⵎⴷⴰⵏⴻⵏ
pepper	ⵉⴼⴻⵍⴼⴻⵍ
perceive	ⵢⴻⵜⵜⵡⴰⵍⵉ
perception	ⵜⴰⵎⵓⵖⵍⵉ
perfect	ⴰⵏⴻⴱⵍⴰⵍ
perform	ⵢⴻⵅⴷⴻⵍ
performance	ⵜⵉⵡⵓⵔⵉⵡⵉⵏ
perhaps	ⴰⵀⴰⵜ
period	ⵜⴰⵍⵍⵉⵜ
permanent	ⴷⵉⵎⴰ
permission	ⵜⵜⴻⵙⵔⵉⵃ
permit	ⴰⴷ ⵢⴻǧǧ
perseverance	ⵚⵚⴱⴻⵔ
persistent	ⴰⵙⴻⵍⵡⴰⵢ
person	ⴰⵎⴷⴰⵏ
personal	ⴰⵢⵍⴰⵯⵙ
personality	ⵜⵓⴳⵏⴰ
perspective	ⵜⴰⵏⵏⴰⵢⵜ
persuade	ⴰⵙ ⴷⵯⵜⴻⵙⵙⵓⵙⴻⵎ
pervert	ⴰⵎⴰⵣⵓⴼ
pet	ⵉⵖⴻⵔⵙⵉⵡⴻⵏ ⵏ ⵡⴻⵅⵅⴰⵎ
phase	ⴰⵙⵡⵉⵔ
phenomenon	ⵜⴰⵏⴰⵎⵓⵏⵜ
philosophy	ⵢⴰⴼⴻⵍⴻⵙⵓⴼⵜ
phone	ⵜⵉⵍⵉⴼⵓ
photo	ⵜⴰⵡⵍⴰⴼⵜ
phrase	ⵜⴰⴼⵢⵉⵔⵜ
physical	ⵏ ⵜⴼⴻⴽⴽⴰ
pick	ⴰⴼⴻⵏ
pick up	ⴷⴷⴻⵎ
picture	ⵜⵓⴳⵏⴰ
piece	ⵜⴰⴳⵣⵣⵓⵎⵜ
pieces	ⵜⵉⵣⴻⵇⵡⵉⵏ
pig	ⴰⵃⴻⵍⵍⵓⴼ
pigeon	ⴰⵜⴱⵉⵔ
pile	ⴰεⵎⵓⵔ
pillow	ⵜⴰⵙⵓⵎⵜⴰ
pilot	ⴰⵎⵙⴰⴼⴻⴳ
pin	ⵓⵎⴻⵙⵎⵉⵔ
pineapple	ⴰⵏⴰⵏⴰⵙ
pink	ⴰⵡⴻⵕⴷⵉ
pit	ⵜⴰⵎⴷⵓⵏⵜ
pitch	ⵜⵜⴻⵀⴻⵛ
pity	ⵙⵃⵉⵙⵙⵉⴼⴻⵖ
place	ⵄⴻⵍ
place	ⴰⴷⴻⴳ
places	ⵜⵉⵎⵏⴰⴹⵉⵏ
plague	ⴱⵓⵛⵃⵉⵟ
plain	ⵉⴼⵔⴰⵔ
plan	ⴰⵖⴰⵡⴰⵙ
plane	ⴰⵙⴰⴼⴰⵇ
plant	ⵉⵎⵖⴰⵏ
plants	ⵉⵎⵖⴰⵏ
plate	ⴰⴹⴻⴱⵙⵉ
platform	ⴰⴳⵏⴻⵏⵏⴰ
play	ⵓⵔⴰⵔ
play	ⵖⴻⵔ
playing	ⵜⵓⵔⴰⵔⴻⵜ
pleasant	ⵢⴻⵙⵄⴰ ⵍⵄⴰⵍⵉ
please	ⵜⵅⵉⵍⵯⴽ
please	ⴳⴻⵔⵔⴻⵣ
pleased	ⵏⴻⵛⵔⴻⵃ
pleasure	ⵉⴼⵔⴻⵃ
pledge	ⵜⴰⴳⴰⵍⵍⵉⵜ
plenty	ⴰⵟⴰⵙ
plot	ⴰⵎⴹⵉⵇ
plug	ⵜⴻⵔⴳⴻⵍ
plum	ⵜⴰⴱⴻⵔⵇⵓⵇⵜ
plumber	ⴰⵎⴰⵍⴷⴰⵎ
plural	ⴰⵙⴳⴻⵜ
podcast	ⴰⵒⵓⴷⴽⴰⵙⵜ
poem	ⴰⵙⴻⴼⵔⵓ
poetry	ⵜⴰⵎⴻⴷⵢⴰⵣⵜ
point	ⵕⵕⴰⵢ
poison	ⵙⵙⴻⵎ
police	ⵜⴰⵎⵙⵓⵍⵜⴰ
policy	ⵜⴰⵙⴻⵔⵜⵉⵜ
polite	ⵢⴻⵎⵄⴻⵏ
pollution	ⴰⵙⴻⴳⵣⵉ
pond	ⵜⴻⵎⴷⴰ
pool	ⴰⵎⴷⵓⵏ
poop	ⵉⵥⵥⴰⵏ
poor	ⴰⴳⴻⵍⵍⵉⵍ
pop	ⴱoⴱ
popular	ⵢⴻⵜⵜⵡⴰⵙⵙⵏⴻⵏ
population	ⴰⴳⴷⵓⴷ
pork	ⴰⴽⵙⵓⵎ ⵏ ⵢⵉⵍⴼⴰⵏ
porridge	ⵜⴰⵥⴰⵢⵜ
port	ⴰⵙⴰⴳⴻⵏ
position	ⴰⵎⴽⴰⵏ
positive	ⴷ ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ
possess	ⵜⴻⵙⵄⵉⴹ
possession	ⵢⴻⵎⵍⴻⴽ
possessive	ⵢⴻⵙⵄⴰⵏ
possible	ⵢⴻⵣⵎⴻⵔ
post	ⵙⵉⵙⵙⴻⵏ
postpone	ⴰⵡⴻⵅⵅⴻⵔ
potato	ⵍⴱⴰⵟⴰⵟⴰ
potential	ⵢⴻⵣⵎⴻⵔ
pound	ⴰⵔⴹⴻⵍ
poverty	ⵜⵉⵎⵓⵖⴱⴻⵏⵜ
power	ⵜⴰⵣⵎⴻⵔⵜ
powerful	ⵜⴰⵣⵎⴻⵔⵜ
practical	ⴷ ⴰⵢⴻⵏ ⵉⵚⴻⵃⵃⴰⵏ
practice	ⵅⴷⴻⵎ
praise	ⵉⵃⵎⴻⴷ
prank	ⵜⵉⵇⴻⵛⵎⴻⵄⵜ
pray	ⵜⴰⵥⴰⵍⵉⵜ
precious	ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ
precise	ⵙⵡⴰ
precisely	ⵙⵡⴰⵙⵡⴰ
predict	ⴰⴷ ⴷⵯⵜⴱⴰⵏ
prefer	ⵢⴻⵇⵎⴻⵖⵢⵉⴼ
preference	ⴰⵛⵓⵛⴻⵎ
pregnant	ⵙ ⵜⴰⴷⵉⵙⵜ
prejudice	ⵜⴰⵏⴻⵃⵢⴰⴼⵜ
premises	ⵉⴷⵉⴳⴰⵏⴻⵏ
premium	ⵜⴰⴱⴽⴰⵔⵜ
preparation	ⴰⵀⴻⴳⴳⵉ
prepare	ⵀⴻⴳⴳⵉⵜ
prepared	ⵢⴻⵜⵀⴻⴳⴳⵉ
preposition	ⵜⴰⵏⵣⴻⵖⵜ
presence	ⵜⵉⵙⵉⵏ
present	ⵜⵓⵔⴰ
present	ⴰⵇⴻⴷⴷⴻⵎ
presentation	ⴰⵙⴻⴳⵣⵉ
preserve	ⴰⴷ ⵃⴻⵔⵣⴻⵏ
president	ⴰⵙⴻⵍⵡⴰⵢ
press	ⵥⴻⵎ
press	ⵜⴰⵣⵎⴻⴽⴻⵜ
pressure	ⴰⵜⴻⴽⴽⵉ ⵙ ⵍⴵⵀⴻⴷ
pretend	ⵢⴻⵔⵔⴰ ⵉⵎⴰⵏⵯⴱⴱⴻⵙ ⴰⵎ
pretty	ⵜⴻⵛⴱⴻⵃ
pretty	ⴰⵟⴰⵙ
prevent	ⵓⵔ ⵜⵯⵜⴻⵜⵜⴰⴵⴵⴰ ⴰⵔⴰ
previous	ⵡⵉⵏ ⵢⴻⵣⵔⵉⵏ
prey	ⵜⴰⵡⴰⵇⵇⴰⵙⵜ.
price	ⵙⵙⵓⵎⴰ
pride	ⵣⵣⵓⵅ
priest	ⴰⵇⴻⵙⵙⵉⵙ
primary	ⴰⵎⴻⵏⵣ
prime	ⴰⴳⴻⵊⴷⴰⵏ
princess	ⵜⴳⴻⵍⴷⵓⵏⵜ
principal	ⴰⵏⴻⵎⵀⴰⵍ
prior	ⵓⵇⴱⴻⵍ
priority	ⵜⴰⵣⵡⴰⵔⵜ
prison	ⵍⵃⴻⴱⵙ
privacy	ⵜⴰⴱⴰⴷⵏⵉⵜ
private	ⵙⵙⴻⵔ
privilege	ⵍⴻⵎⵣⴻⵢⵢⴰ
prize	ⴰⵔⵔⴰⵣ
probably	ⴰⵀⴰⵜ
problem	ⵓⴳⵓⵔ
procedure	ⵜⴰⵖⴰⵔⴰⵙⵜ
proceed	ⵍⴰⵎⵎⴻⵍ
process	ⵅⴷⴻⵎ
produce	ⴰⵙⵏⵓⵍⴼⵓ
product	ⴰⵙⴻⴳⵎⵉ
production	ⴰⴼⴰⵔⴻⵙ
profession	ⵉⵅⴻⴷⴷⵉⵎ
professional	ⴰⵎⵙⴰⴷⵓⵔ
profile	ⴰⵍⴻⴳⴷⵉⵙ
profit	ⵔⵔⴱⴻⵃ
profound	ⵍⵇⴰⵢ
progress	ⵏⴻⵔⵏⵉ
project	ⴰⵙⴻⵏⴼⴰⵕ
prominent	ⵢⴻⵜⵜⴱⴰⵏⴻⵏ
promise	ⵙⴻⵖ
promote	ⴰⵙⵏⴻⵔⵏⵉ
promotion	ⴰⵙⵎⴰⵍ
prompt	ⵜⵓⵄⵊⵓⵍⵜ
prone	ⴰⵙⴻⵏⵜⴻⵍ
pronouns	ⵉⵙⵎⴰⵡⴻⵏ
pronunciation	ⴰⵙⵓⵙⵔⵓ
proof	ⴰⵏⵣⴰ
proper	ⵢⴻⵙⵙⴻⴼⴽⴻⵏ
properly	ⴰⴽⴽⴻⵏ ⵉⵍⴰⵇ
properties	ⴰⵢⵍⴰ
property	ⴰⵢⵍⴰ
proposal	ⴰⵙⵓⵍⴻⵔ
prospect	ⵉⵥⵕⵉ
prosperity	ⵍⵉⵙⴻⵔ
prosperous	ⵉⵏⴽⴻⵍⵡⵉ
protect	ⴷⵯⵢⴻⵃⵔⴻⵣ
proud	ⵢⴻⵙⵄⴰ ⵣⵣⵓⵅ
prove	ⵜⵜⴱⵓⵜ
provide	ⴰⴷ ⴷⵯⴷⴼⴽⴻⵏ
provided	ⵢⴻⵜⵜⵓⵏⴻⴼⴽ
province	ⵜⴰⵡⵉⵍⴰⵢⵜ
provision	ⴰⴱⴻⵛⵛⵉ
puberty	ⵜⴰⴳⴳⴰⴹⵜ
public	ⴰⴳⴷⵓⴷ
pull	ⵊⴻⴱⴷⴻⵖ
pumpkin	ⵜⴰⵅⴰⵢⵙⵜ
punctual	ⴷⴻⴳ ⵍⴰⵡⴰⵏ
pupil	ⴰⵏⴻⵍⵎⴰⴷ
purchase	ⵜⴰⵖⴰⵡⵙⴰ
pure	ⵣⴻⴷⴷⵉⴳⴻⵏ
purple	ⴰⵣⴻⴳⵣⴰⵡ
purpose	ⵉⵙⵡⵉ
purse	ⵜⴰⵙⴽⴰ
pursue	ⵢⴻⴹⴼⴻⵔ
pursuit	ⴰⵎⵙⴻⴹⴼⴰⵔ
push	ⴷⴻⵎⵎⴻⵔ
put	ⵙⵙⴻⵔⵙ
qualification	ⴰⵙⵎⴻⵔⴽⴻⴷ
quality	ⴰⵏⴰⵡ
quantity	ⴰⵟⴰⵙ ⵏ
quarantine	ⴰⵙⴻⵃⴱⴻⵙ ⴷⴻⴳ ⵓⵅⴰⵎ
quarrel	ⴰⵎⴻⵏⵏⵓⵖ
quarter	ⴽⵓⵥⴻⵜ
Quechua	ⴽⵓⵛⵡⴰ
queen	ⵜⴰⴳⴻⵍⵍⵉⴷⵜ
queer	ⵛⴰⴷ
query	ⴰⵙⴻⵇⵙⵉ
question	ⴰⵙⵜⴻⵇⵙⵉ
queue	ⵉⵙⵙⵜⴻⴼ
quick	ⵙ ⵜⵖⴰⵡⵍⴰ
quickly	ⵙ ⵜⵖⴰⵡⵍⴰ
quiet	ⵜⴰⵙⵓⵙⵎⵉ
quilt	ⴰⴱⵜⵍⴰⵡ
quit	ⵙⴻⵔⵙⴻⵖ
quite	ⵎⵍⵉⵃ
quite	ⴰⵟⴰⵙ
quiz	ⵉⵙⴻⵇⵙⵉⵢⴻⵏ
quotation	ⵢⴻⵜⵡⴰⴽⵙⴻⴷ
quote	ⴱⴷⴻⵔ
quotes	ⵜⵉⵏⴻⴱⴷⵓⵔⵉⵏ
rabbit	ⴰⴽⵜⵓⵍ
race	ⵜⴻⵎⵙⵉⵣⵣⵍⵉⵏ
rage	ⵡⵓⵔⵔⵉⴼ
rain	ⴰⴳⴼⵓⵔ
raise	ⴻⴽⴽⴻⵔ
raised	ⵉⴹⴻⵀⵔⴻⴷ
ran	ⵢⵓⵣⵣⴻⵍ
random	ⵙ ⵣⵣⵀⴻⵔ
range	ⵉⵙⴻⴹⵙⴰⵢ ⴰⵟⴰⵙ
rapid	ⵢεⵊⴻⵍ
rapidly	ⵙ ⵍεⴻⵊⵍⴰⵏ
rare	ⵓⵔ ⴷⵯⵢⴻⵜⵜⵉⵍⵉ ⴰⵔⴰ
rarely	ⴷⵔⵓ
rash	ⵜⵜⵓⴼⴻⵖⴰ
rat	ⵉⵖⴻⵔⴷⴰⵢⴻⵏ
rate	ⴰⵎⵇⵉⵎ
rather	ⴰⵅⵉⵔ
ratio	ⴰⵙⵙⴰⵖ
rational	ⴰⵎⴻⵖⵥⴰⵏ
raw	ⴰⵣⴻⴳⵣⴰⵡ
re	ⴰⵄⴰⵡⵣⴷ
reach	ⴰⵡⴻⴹ
reached	ⵢⴻⵡⵡⴻⴹ
reaction	ⵜⴰⵙⴻⴷⵎⵉⵔⵜ
read	ⵖⴻⵔ
reading	ⵜⴰⵖⵓⵔⵉ
ready	ⵉⵀⴻⴳⴳⴰ
real	ⵜⵉⴷⴻⵜⵜ
reality	ⵜⵉⵍⴰⵡⵜ
realize	ⵉⴼⴰⵇ
realized	ⵢⴻⴳⴰ
really	ⵙ ⵜⵉⴷⴻⵜ
rear	ⴷⴻⴼⴼⴽⵔ
reason	ⵙⵙⴻⴱⴱⴰ
reasonable	ⵉⵜⴻⵎⵜⴰⵡⴰⵏ
recall	ⵎⵎⴻⴽⵜⵉ
receipt	ⵜⴰⵔⵎⴻⵙⵜ
receive	ⴰⵡⴻⵏⵜ
received	ⵢⴻⵜⵜⵡⴰⵟⴼⴻⵏ
recent	ⵓⵙⵙⴰⵏⵯⴰ ⵉⵏⴻⴳⴳⵓⵔⴰ
recently	ⵙⴰⴽⴻⵏ ⴽⴰⵏ
reception	ⵜⴰⵔⵎⴻⵙⵜ
recipe	ⵜⴰⴼⵜⴰⵔⵜ
reckless	ⵓⵔ ⵏⵃⴰⴷⴻⵔ
recognition	ⴰⵙⵎⵓⵙⵙⴻⵏ
recognize	ⵢⴻⵥⵔⴰ
recommend	ⵛⴽⴻⵔⵔ
recommended	ⵙⵎⴰⴳⴻⵍ
record	ⵙⴻⴽⵍⴻⵙ
recover	ⵢⴻⵊⵊⴻⵢ
recovery	ⵉⵜⵜⴻⵊⵊⴻⵢ
rectangle	ⴰⵙⵔⴻⵎ
red	ⴰⵣⴳⴳⴰⵖ
redeem	ⴰⴷ ⵜⵯⵉⴷⵯⵙⴻⵍⵍⴽⴻⵏ
redemption	ⴰⵙⴼⴻⵍ
reduce	ⵙⴻⵏⴳⴻⵙⵙ
redundant	ⴰⵙⵍⴻⴳ
refer	ⴰⵡⴻⵀⵉ
reference	ⴰⵎⵏⵉⵔ
reflect	ⵢⴻⵙⵙⴻⵏⴷⴰⴷ
reflection	ⴰⵙⴻⵏⴷⴻⴷ
refrain	ⵙⵓⵏⴻⴼ
refrigerator	ⴰⴼⵔⵉⴳⵓ
refund	ⴰⴷ ⴽⵯⵉⴷⵯⵖⴻⵎⴻⵏ
refuse	ⵓⵔ ⵜⵜⵯⵏⴻⵇⴱⵉⵍ
refused	ⵢⵓⴳⵉ
regard	ⴰⵖⴰⵡⴰⵙ
regarding	ⵖⴻⴼ ⵡⴰⵢⴻⵏ ⵢⴻⵔⵣⴰⵏ
regardless	ⴰⴽⴽⵡ
regards	ⵔⵓⵃ ⴷⵉ ⵜⴰⵍⵡⵉⵜ
region	ⵜⴰⵎⵏⴰⴹⵜ
register	ⴰⵣⵎⴰⵎ
regret	ⵙⵃⴰⵙⵙⴼⴻⵖ
regular	ⵏ ⵜⵉⴷⴻⵜ
regularly	ⵜⴰⵥⴰⵍⵍⵉⵜ
reject	ⵓⵔ ⵜⵜⵯⵢⴻⵇⴱⵉⵍ ⴰⵔⴰ
relate	ⴷⵯⵢⴻⵜⵜⵎⴻⵙⵍⴰⵢⴻⵏ
related	ⴰⵙⵙⴰⵖ
relationship	ⵜⴰⴷⵓⴽⵍⵉ
relative	ⵉⵎⴰⵡⵍⴰⵏ
relative	ⴰⵎⵎⴰⵙⴰⵖ
relatives	ⵉⵎⴰⵡⵍⴰⵏ
relax	ⵙⴻⵔⵔⴻⵃ
release	ⵙⵍⴻⵍⵍⵉ
released	ⵢⴻⵜⵜⵡⴰⵙⴻⵔⵔⴻⵃ
relevant	ⵉⵣⴷⵉⵏ
reliable	ⵢⴻⵙⵄⴰⵏ ⵍⴰⵎⴰⵏ
relief	ⴰⵙⴻⵔⵜⵉⵃ
relieve	ⵙⵙⴻⵅⵙⵉ
relieved	ⵢⴻⵙⵜⴻⵄⴼⴰ
religion	ⴷⴷⵉⵏ
religious	ⴷⴷⵉⵏ
reluctant	ⵓⵔ ⵢⴻⵇⴱⵉⵍ ⴰⵔⴰ
rely	ⵜⵜⴽⴻⵍ
remain	ⵇⵇⵉⵎⴻⵏ
remaining	ⴰⵢ ⴷⵯⵢⴻⵇⵇⵉⵎⴻⵏ
remarkable	ⵉⵅⵓⵍⴻⴼ
remedy	ⴰⵙⴰⴼⴰⵔ
remember	ⵛⴼⵓ ⵖⴻⴼ
remind	ⴰⵙⵎⴻⴽⵜⵉ
reminder	ⵙⵎⴻⴽⵜⵉ
remote	ⴰⵙⴼⴻⵍ
remove	ⴽⴽⴻⵙ
render	ⵉⵜⵛⵛⵓⵔ
rent	ⵉⵔⴹⴻⵍ
repair	ⴰⵙⴻⴱⴷⴻⴷ
repeat	ⵄⴰⵡⴷ
replace	ⵢⴻⴱⴻⴷ
reply	ⵢⴻⵔⵔⴰ
report	ⴰⵔⵓ
represent	ⴷ ⴰⵎⴻⴷⵢⴰ
reputation	ⵜⵉⵙⴻⵍⵍⴻⵜ
request	ⵙⴻⵇⵙⵉ
require	ⵢⴻⵙⵙⴻⴼⴽ
required	ⵢⴻⵙⵙⴻⴼⴽ
rescue	ⴰⵙⴻⵍⵍⴻⴽ
research	ⵓⵏⴰⴷⵉ
resemble	ⴰⵎⵣⵓⵏ
resentment	ⴰⵎⴻⵏⵏⵓⵖ
reservation	ⵉⵃⴻⵕⵕ
reserve	ⵃⴻⵔⵔⴻⵖ
resident	ⵉⵎⴻⵣⴷⴰⵖⴻⵏ
resign	ⵢⴻⴼⴼⴻⵖ ⵙⴻⴳ ⵍⵅⴻⴷⵎⴰ
resilience	ⵜⴰⵥⴰⵢⵜ
resilient	ⴰⵏⴳⴻⵥⵡⴻⵔ
resist	ⵇⴰⴱⵍ
resistance	ⵔⴻⵙⵉⵙⵜⴰⵏⵛⴻ
resolution	ⴰⵡⴻⵏⵏⵣⵄ
resolve	ⴼⵔⵓ
resort	ⵢⴻⵇⴷⴻⵛ
resources	ⵜⵉⴳⵎⴰⵡⵉⵢⵉⵏ
respect	ⵢⵜⴻⵇⴰⴷⴰⵔ
respond	ⵔⵔⴻⵜⵯⴷ
response	ⵜⵉⵔⵉⵔⵉⵜ
responsibility	ⵙⵙⴻⴱⴰ
responsible	ⵡⵉⵏ ⵢⴻⵙⵄⴰⴱ ⴰⵣⴰⵍ
rest	ⴰⵙⴻⴳⵓⵏⴼⵓ
rest in peace	ⵙⴳⵓⵏⴼⵓ ⴷⴻⴳ ⵜⴰⵍⵡⵉⵜ
restaurant	ⵜⴰⵏⴻⵛⵛⵉⵜ
restore	ⵙⴻⵍⵀⵓ
restrict	ⴽⵔⴻⴼ
result	ⴰⴳⵎⵓⴹ
results	ⵉⴳⵎⴰⴹ
resume	ⴰⵙⴻⵖⵜⵉ
retail	ⴰⵙⵎⴻⴽ
retain	ⴰⴷ ⵢⴻⵇⵇⵉⵎ
retention	ⴰⵙⴻⵃⴱⵉⴱⴻⵔ
retired	ⵢⴻⵜⴰⵅⴻⵕ
retreat	ⵡⴻⵅⵅⴻⵔ
retrieve	ⴰⴷ ⴷⵯⵜⴻⴽⴽⴻⵙ
return	ⵓⵖⴰⵍ
reveal	ⴰⴷ ⴷⵯⵙⴱⴻⴳⴳⴻⵏ
revealed	ⵢⴻⴱⴰⵏⵯⴷ
revenge	ⵜⵜⴰⵕ
revenue	ⵔⵔⴻⴱⴻⵃ
reverse	ⵉⵇⵍⴻⴱ
review	ⵙⴻⵏⵜⵇⴻⴷ
revise	ⵜⵛⴻⴳⴳⴻⵕ
revision	ⴰⵍⵍⴰⵙ
revolution	ⵜⴰⴳⵔⴰⵡⵍⴰ
reward	ⵜⴰⵔⵔⴰⵣⴻⵜ
rhythm	ⴰⵛⴰⵍⴰ
rib	ⵜⴰⵖⴻⵛⵜ
rice	ⵔⵔⵓⵣ
rich	ⴷ ⵉⵎⴻⵔⴽⴰⵏⵜⵉⵢⴻⵏ
rid	ⴰⵙⴼⴻⵍ
ride	ⵢⴻⵔⴽⴻⴱ
ridiculous	ⴷ ⴰⵢⴻⵏ ⵓⵔ ⵏⵣⵙⵄⵉ ⴰⵣⴰⵍ
right	ⵙⵡⴰⵙⵡⴰ
right	ⴰⵢⴼⵓⵙ
right now	ⵜⵓⵔⴰ
rigid	ⵢⴻⵇⵇⵓⵔⴻⵏ
ring	ⵜⴰⵅⴰⵜⴻⵎⵜ
rinse	ⵙⵍⴰⵍⴻⵖ
riot	ⴰⵖⴻⵍⵡⴰⵖ
rip	ⵙⴻⵖⵔⴻⵙ
ripe	ⴰⵏⴻⵥⵉⵥ
rise	ⴰⵍⵉ
risk	ⵇⴻⵎⵎⴻⵔ
rival	ⴰⵎⴻⵏⵣⴰⵖ
river	ⴰⵙⵉⴼ
road	ⴰⴱⵔⵉⴷ
roast	ⵢⴻⵥⵖⴰⵏ
robust	ⴰⵊⵉⵡⴰⵔ
rock	ⴰⵥⵔⵓ
rod	ⴰⵄⴻⴽⴽⴰⵣ
role	ⵜⵉⵍⴰⵍⵜ
roll	ⴰⵎⵜⴻⵍⵜⴻⵍ
roof	ⵙⵙⵇⴻⴼ
room	ⵜⴰⵅⵅⴰⵎⵜ
root	ⴰⵥⴰⵕ
rope	ⵜⴰⵎⵔⴰⵔⵜ
rotten	ⵉⵔⴽⴰ
rough	ⵇⴻⵙⵙⵉⵃ
roughly	ⴰⵣⴰⵍ
round	ⴰⵎⴳⴻⵔⵔⴰⴷ
route	ⴰⴱⵔⵉⴷ
routine	ţⴰⵏⵏⵓⵎⵉ
row	ⵡⴰ ⴷⴻⴼⴼⵉⵔ ⵏ ⵡⴰ
rub	ⵃⵓⴽ
rubber	ⴰⵎⴻⵣⵣⵉⵍ
rubbish	ⵉⵏⵊⴰⵏ
rude	ⵓⵔ ⵏⴻⵎⵄⵉⵏ
rug	ⴰⵎⵇⴻⵍⵍⴻⵇ
ruin	ⵙⵡⵉⵖ
rule	ⴰⵍⵓⴳⴰⵏ
ruler	ⴰⵍⵓⴳⴰⵏ
rules	ⵉⵍⵓⴳⴰⵏ
run	ⵜⵓⵣⵍⴰ
running	ⵜⴰⵔⵡⴻⵍⴰ
rural	ⵜⴰⵖⵉⵡⴰⵏⵜ
rush	ⵙⴻεⵊⴻⵍ
sack	ⵜⴰⵛⴰⵛⵉⵜ
sacred	ⴰⵖⵓⴷⴷⵉⴷ
sacrifice	ⴰⵙⴼⴻⵍ
safe	ⵍⴰⵎⴰⵏ
safe flight	ⵉⴼⴼⵉⴳ ⵏ ⵍⴰⵎⴰⵏ
safety	ⵍⴰⵎⴰⵏ
sage	ⴰⵎⴰⵙⵏⴰⴳ
said	ⵢⴻⵏⵏⴰⵯⴷ
sail	ⵓⵖⴻⵔⵔⴰⴱⵓ
sailing	ⵜⴰⵏⴰⵡⵜ
sake	ⵖⴻⴼ ⵍⵊⴰⵍ
salary	ⵜⴰⵛⴻⵀⵔⵉⵜ
sale	ⴰⵣⴻⵏⵣⴰⵢ
salmon	ⴰⵙⵍⴻⵎ
salt	ⵍⴻⵎⵍⴻⵃ
same	ⴰⵎ
Same here	ⵓⵍⴰ ⴷ ⴷⴰⵢⵉ
sample	ⵜⵓⴽⴽⵉⵙⵜ
sand	ⵕⵕⵎⴻⵍ
Sanskrit	ⵙⴰⵏⵙⴽⵔⵉⵜ
sarcastic	ⴰⴽⴻⵍⵍⵉⵅ
sassy	ⵇⵊⴻⵔ
sat	ⵢⴻⵇⵇⵉⵎ
satisfaction	ⵍⴼⴻⵕⵃ
satisfied	ⴼⴻⵔⵃⴻⵏ
satisfy	ⵢⴻⵙⵙⴻⴼⵇⴻⴷ
satisfying	ⵢⴻⵙⵙⴻⴼⵇⴻⴷ
Saturday	ⵙⴻⴷ
sausage	ⵜⴰⴽⵓⵔⴷⴰⵙⵜ
savage	ⴰⵖⴰⵔⵉⵎ
save	ⵙⴻⵍⴽⴻⵜ
saw	ⵉⵡⴰⵍⴰ
say	ⵉⵏⵉ
scale	ⵙⵙⴻⵔⵙ ⵖⴻⴼ ⵓⵎⵉⵣⴰⵏⵯⴰ
scam	ⴰⴷⴻⵔⵔⴻⵃ
scar	ⵛⵛⴰⵎⴰ
scarce	ⵉⵎⵉⴷⵔⵓⵙ
scared	ⵢⵓⴳⴰⴷ
scarf	ⴰⴽⴻⵔⵣⵉ
scary	ⵢⴻⵙⵙⴻⵅⵍⴰⵄⴻⵏ
