ⴰ	a
ⴰⵟⵟⴰⵏ	pandemic
ⵍⵅⵓⴼ	panic
ⴰⵙⴻⵔⵡⴰⵍ	pants
ⵍⴽⴰⵖⴻⴹ	paper
ⵍǧⴻⵏⵏⴻⵜ	paradise
ⵜⴰⵎⵏⴰⵡⴰⵢⵜ	parallel
ⴰⴽⴰⵔⴰⴼ	parcel
ⵙⵓⵔⴻⴼ	pardon
ⵉⵎⴰⵡⵍⴰⵏ	parents
ⵡⴻⴼⵔⴰⴳ	park
ⴱⴰⴱⴰⵖⴰⵢⵓ	parrot
ⵍⵎⴻⵄⴷⵏⵓⵙ	parsley
ⴰⵎⵓⵔ	part
ⵜⵜⴻⴽⴽⵉ	participate
ⵙ ⵓⵎⴰⵜⴰ	particular
ⵍⴰⴷⵖⴰ	particularly
ⴰⵎⴷⴷⴰⴽⴻⵍ	partner
ⵜⴰⵎⴻⵖⵔⴰ	party
ⴰⴷ ⴷⵯⵢⴻⴼⴼⴻⵖ	pass
ⴰⵄⴻⴷⴷⵉ	passage
ⵢⴻⴽⴽⴰ	passed
ⵍⴻⵀⵏⴰ	passion
ⵜⴻⵔⵃⴰ	passionate
ⴰⵜⵡⴰⵖ	passive
ⴰⵡⴰⵍ ⵏ ⵓⴼⴼⵉⵔ	password
ⴰⵢⴻⵏ ⵉⵄⴻⴷⴷⴰⵏ	past
ⴰⵛⴻⵔⵔⵉⴳ	patch
ⴰⴱⵔⵉⴷ	path
ⴷ ⴰⵢⴻⵏ ⵉⵇⴻⵔⵃⴻⵏ	pathetic
ⵚⵚⴱⴻⵔ	patience
ⴰⵎⴰⵟⵓⵏ	patient
ⴰⵙⴻⴱⴱⴰⵔ	patient
ⴰⵎⵓⵙⵙⵓ	pattern
ⴰⵃⴱⴰⵙ	pause
ⵜⴰⵏⴻⴷⴷⵓⵜ	pavement
ⵅⴻⵍⵍⴻⵚ	pay
ⴰⵅⴻⵍⵍⴻⵙ	payment
ⵜⴰⵍⵡⵉⵜ	peace
ⵜⴰⵍⵡⵉⵜ	peaceful
ⵜⴰⵅⵓⵅⴻⵜ	peach
ⵜⴰⵙⴻⵎⵀⵓⵢⵜ	peak
ⵉⴼⵉⵔⴻⵙ	pear
ⵜⴰⵊⵉⵍⴱⴰⵏⴻⵜ	peas
ⴰⵎⴰⵢⵏⵓⵜ	peculiar
ⵉⵣⴰⵏ	pee
ⵢⴻⵅⵕⴰ	pee
ⵙⵙⴻⵇⵛⴻⵔ	peel
ⵢⴻⵔⴼⵉⵇⴻⵏ	peer
ⵉⵎⴷⵓⴽⴽⴰⵍ	peers
ⴰⵙⴻⴱⵜⴻⵔ	pen
ⵉⵎⵔⵓ	pencil
ⴰⵔ ⵎⴰⵔⴰ	pending
ⵉⵎⴷⴰⵏⴻⵏ	people
ⵉⴼⴻⵍⴼⴻⵍ	pepper
ⵢⴻⵜⵜⵡⴰⵍⵉ	perceive
ⵜⴰⵎⵓⵖⵍⵉ	perception
ⴰⵏⴻⴱⵍⴰⵍ	perfect
ⵢⴻⵅⴷⴻⵍ	perform
ⴰⵅⴻⴷⴷⵉⵎ	performance
ⴰⵀⴰⵜ	perhaps
ⵜⴰⵍⵍⵉⵜ	period
ⴷⵉⵎⴰ	permanent
ⵜⵜⴻⵙⵔⵉⵃ	permission
ⴰⴷ ⵢⴻǧǧ	permit
ⵚⵚⴱⴻⵔ	perseverance
ⴰⵙⴻⵍⵡⴰⵢ	persistent
ⴰⵎⴷⴰⵏ	person
ⴰⵢⵍⴰⵯⵙ	personal
ⵜⵓⴳⵏⴰ	personality
ⵜⴰⵎⵓⵖⵍⵉ	perspective
ⴰⵙ ⴷⵯⵜⴻⵙⵙⵓⵙⴻⵎ	persuade
ⴰⵎⴰⵣⵓⴼ	pervert
ⵉⵖⴻⵔⵙⵉⵡⴻⵏ ⵏ ⵡⴻⵅⵅⴰⵎ	pet
ⴰⵙⵡⵉⵔ	phase
ⵜⴰⵏⴰⵎⵓⵏⵜ	phenomenon
ⵢⴰⴼⴻⵍⴻⵙⵓⴼⵜ	philosophy
ⵜⵉⵍⵉⴼⵓ	phone
ⵜⴰⵡⵍⴰⴼⵜ	photo
ⵜⴰⴼⵢⵉⵔⵜ	phrase
ⵏ ⵜⴼⴻⴽⴽⴰ	physical
ⴰⴼⴻⵏ	pick
ⴷⴷⴻⵎ	pick up
ⵜⵓⴳⵏⴰ	picture
ⴰⵎⵓⵔ	piece
ⵜⵉⵣⴻⵇⵡⵉⵏ	pieces
ⴰⵃⴻⵍⵍⵓⴼ	pig
ⴰⵜⴱⵉⵔ	pigeon
ⴰεⵎⵓⵔ	pile
ⵜⴰⵙⵓⵎⵜⴰ	pillow
ⴰⵎⵙⴰⴼⴻⴳ	pilot
ⵓⵎⴻⵙⵎⵉⵔ	pin
ⴰⵏⴰⵏⴰⵙ	pineapple
ⴰⵡⴻⵕⴷⵉ	pink
ⵜⴰⵎⴷⵓⵏⵜ	pit
ⵜⵜⴻⵀⴻⵛ	pitch
ⵙⵃⵉⵙⵙⵉⴼⴻⵖ	pity
ⵄⴻⵍ	place
ⴰⴷⴻⴳ	place
ⵜⵉⵎⵏⴰⴹⵉⵏ	places
ⴱⵓⵛⵃⵉⵟ	plague
ⵉⴼⵔⴰⵔ	plain
ⴰⵖⴰⵡⴰⵙ	plan
ⴰⵙⴰⴼⴰⵇ	plane
ⵉⵎⵖⴰⵏ	plant
ⵉⵎⵖⴰⵏ	plants
ⴰⴹⴻⴱⵙⵉ	plate
ⴰⴳⵏⴻⵏⵏⴰ	platform
ⵓⵔⴰⵔ	play
ⵖⴻⵔ	play
ⵜⵓⵔⴰⵔⴻⵜ	playing
ⵢⴻⵙⵄⴰ ⵍⵄⴰⵍⵉ	pleasant
ⵜⵅⵉⵍⵯⴽ	please
ⴳⴻⵔⵔⴻⵣ	please
ⵏⴻⵛⵔⴻⵃ	pleased
ⵉⴼⵔⴻⵃ	pleasure
ⵜⴰⴳⴰⵍⵍⵉⵜ	pledge
ⴰⵟⴰⵙ	plenty
ⴰⵎⴹⵉⵇ	plot
ⵜⴻⵔⴳⴻⵍ	plug
ⵜⴰⴱⴻⵔⵇⵓⵇⵜ	plum
ⴰⵎⴰⵍⴷⴰⵎ	plumber
ⴰⵙⴳⴻⵜ	plural
ⴰⵒⵓⴷⴽⴰⵙⵜ	podcast
ⴰⵙⴻⴼⵔⵓ	poem
ⵜⴰⵎⴻⴷⵢⴰⵣⵜ	poetry
ⵕⵕⴰⵢ	point
ⵙⵙⴻⵎ	poison
ⵜⴰⵎⵙⵓⵍⵜⴰ	police
ⵜⴰⵙⴻⵔⵜⵉⵜ	policy
ⵢⴻⵎⵄⴻⵏ	polite
ⴰⵙⴻⴳⵣⵉ	pollution
ⵜⴻⵎⴷⴰ	pond
ⴰⵎⴷⵓⵏ	pool
ⵉⵥⵥⴰⵏ	poop
ⴰⴳⴻⵍⵍⵉⵍ	poor
ⴱoⴱ	pop
ⵢⴻⵜⵜⵡⴰⵙⵙⵏⴻⵏ	popular
ⴰⴳⴷⵓⴷ	population
ⴰⴽⵙⵓⵎ ⵏ ⵢⵉⵍⴼⴰⵏ	pork
ⵜⴰⵥⴰⵢⵜ	porridge
ⴰⵙⴰⴳⴻⵏ	port
ⴰⵎⴽⴰⵏ	position
ⴷ ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ	positive
ⵜⴻⵙⵄⵉⴹ	possess
ⵢⴻⵎⵍⴻⴽ	possession
ⵢⴻⵙⵄⴰⵏ	possessive
ⵢⴻⵣⵎⴻⵔ	possible
ⵙⵉⵙⵙⴻⵏ	post
ⴰⵡⴻⵅⵅⴻⵔ	postpone
ⵍⴱⴰⵟⴰⵟⴰ	potato
ⵢⴻⵣⵎⴻⵔ	potential
ⴰⵔⴹⴻⵍ	pound
ⵜⵉⵎⵓⵖⴱⴻⵏⵜ	poverty
ⵜⴰⵣⵎⴻⵔⵜ	power
ⵜⴰⵣⵎⴻⵔⵜ	powerful
ⴷ ⴰⵢⴻⵏ ⵉⵚⴻⵃⵃⴰⵏ	practical
ⵅⴷⴻⵎ	practice
ⵉⵃⵎⴻⴷ	praise
ⵜⵉⵇⴻⵛⵎⴻⵄⵜ	prank
ⵜⴰⵥⴰⵍⵉⵜ	pray
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	precious
ⵙⵡⴰ	precise
ⵙⵡⴰⵙⵡⴰ	precisely
ⴰⴷ ⴷⵯⵜⴱⴰⵏ	predict
ⵢⴻⵇⵎⴻⵖⵢⵉⴼ	prefer
ⴰⵛⵓⵛⴻⵎ	preference
ⵙ ⵜⴰⴷⵉⵙⵜ	pregnant
ⵜⴰⵏⴻⵃⵢⴰⴼⵜ	prejudice
ⵉⴷⵉⴳⴰⵏⴻⵏ	premises
ⵜⴰⴱⴽⴰⵔⵜ	premium
ⴰⵀⴻⴳⴳⵉ	preparation
ⵀⴻⴳⴳⵉⵜ	prepare
ⵢⴻⵜⵀⴻⴳⴳⵉ	prepared
ⵜⴰⵏⵣⴻⵖⵜ	preposition
ⵜⵉⵙⵉⵏ	presence
ⴰⵇⴻⴷⴷⴻⵎ	present
ⵜⵓⵔⴰ	present
ⴰⵙⴻⴳⵣⵉ	presentation
ⴰⴷ ⵃⴻⵔⵣⴻⵏ	preserve
ⴰⵙⴻⵍⵡⴰⵢ	president
ⵥⴻⵎ	press
ⵜⴰⵣⵎⴻⴽⴻⵜ	press
ⴰⵜⴻⴽⴽⵉ ⵙ ⵍⴵⵀⴻⴷ	pressure
ⵢⴻⵔⵔⴰ ⵉⵎⴰⵏⵯⴱⴱⴻⵙ ⴰⵎ	pretend
ⴰⵟⴰⵙ	pretty
ⵜⴻⵛⴱⴻⵃ	pretty
ⵓⵔ ⵜⵯⵜⴻⵜⵜⴰⴵⴵⴰ ⴰⵔⴰ	prevent
ⵡⵉⵏ ⵢⴻⵣⵔⵉⵏ	previous
ⵜⴰⵡⴰⵇⵇⴰⵙⵜ.	prey
ⵙⵙⵓⵎⴰ	price
ⵣⵣⵓⵅ	pride
ⴰⵇⴻⵙⵙⵉⵙ	priest
ⴰⵎⴻⵏⵣ	primary
ⴰⴳⴻⵊⴷⴰⵏ	prime
ⵜⴳⴻⵍⴷⵓⵏⵜ	princess
ⴰⵏⴻⵎⵀⴰⵍ	principal
ⵓⵇⴱⴻⵍ	prior
ⵜⴰⵣⵡⴰⵔⵜ	priority
ⵍⵃⴻⴱⵙ	prison
ⵜⴰⴱⴰⴷⵏⵉⵜ	privacy
ⵙⵙⴻⵔ	private
ⵍⴻⵎⵣⴻⵢⵢⴰ	privilege
ⴰⵔⵔⴰⵣ	prize
ⴰⵀⴰⵜ	probably
ⵓⴳⵓⵔ	problem
ⵜⵉⴽⵍⵉ	procedure
ⵍⴰⵎⵎⴻⵍ	proceed
ⵅⴷⴻⵎ	process
ⴰⵙⵏⵓⵍⴼⵓ	produce
ⴰⵙⴻⴳⵎⵉ	product
ⴰⴼⴰⵔⴻⵙ	production
ⵉⵅⴻⴷⴷⵉⵎ	profession
ⴰⵎⵙⴰⴷⵓⵔ	professional
ⴰⵍⴻⴳⴷⵉⵙ	profile
ⵔⵔⴱⴻⵃ	profit
ⵍⵇⴰⵢ	profound
ⵏⴻⵔⵏⵉ	progress
ⴰⵙⴻⵏⴼⴰⵕ	project
ⵢⴻⵜⵜⴱⴰⵏⴻⵏ	prominent
ⵙⴻⵖ	promise
ⴰⵙⵏⴻⵔⵏⵉ	promote
ⴰⵙⵎⴰⵍ	promotion
ⵜⵓⵄⵊⵓⵍⵜ	prompt
ⴰⵙⴻⵏⵜⴻⵍ	prone
ⵉⵙⵎⴰⵡⴻⵏ	pronouns
ⴰⵙⵓⵙⵔⵓ	pronunciation
ⴰⵏⵣⴰ	proof
ⵢⴻⵙⵙⴻⴼⴽⴻⵏ	proper
ⴰⴽⴽⴻⵏ ⵉⵍⴰⵇ	properly
ⴰⵢⵍⴰ	properties
ⴰⵢⵍⴰ	property
ⴰⵙⵓⵍⴻⵔ	proposal
ⵉⵥⵕⵉ	prospect
ⵍⵉⵙⴻⵔ	prosperity
ⵉⵏⴽⴻⵍⵡⵉ	prosperous
ⴷⵯⵢⴻⵃⵔⴻⵣ	protect
ⵢⴻⵙⵄⴰ ⵣⵣⵓⵅ	proud
ⵜⵜⴱⵓⵜ	prove
ⴰⴷ ⴷⵯⴷⴼⴽⴻⵏ	provide
ⵢⴻⵜⵜⵓⵏⴻⴼⴽ	provided
ⵜⴰⵡⵉⵍⴰⵢⵜ	province
ⴰⴱⴻⵛⵛⵉ	provision
ⵜⴰⴳⴳⴰⴹⵜ	puberty
ⴰⴳⴷⵓⴷ	public
ⵊⴻⴱⴷⴻⵖ	pull
ⵜⴰⵅⴰⵢⵙⵜ	pumpkin
ⴷⴻⴳ ⵍⴰⵡⴰⵏ	punctual
ⴰⵏⴻⵍⵎⴰⴷ	pupil
ⵜⴰⵖⴰⵡⵙⴰ	purchase
ⵣⴻⴷⴷⵉⴳⴻⵏ	pure
ⴰⵣⴻⴳⵣⴰⵡ	purple
ⵉⵙⵡⵉ	purpose
ⵜⴰⵙⴽⴰ	purse
ⵢⴻⴹⴼⴻⵔ	pursue
ⴰⵎⵙⴻⴹⴼⴰⵔ	pursuit
ⴷⴻⵎⵎⴻⵔ	push
ⵙⵙⴻⵔⵙ	put
ⴰⵙⵎⴻⵔⴽⴻⴷ	qualification
ⴰⵏⴰⵡ	quality
ⴰⵟⴰⵙ ⵏ	quantity
ⴰⵙⴻⵃⴱⴻⵙ ⴷⴻⴳ ⵓⵅⴰⵎ	quarantine
ⴰⵎⴻⵏⵏⵓⵖ	quarrel
ⴽⵓⵥⴻⵜ	quarter
ⴽⵓⵛⵡⴰ	Quechua
ⵜⴰⴳⴻⵍⵍⵉⴷⵜ	queen
ⵛⴰⴷ	queer
ⴰⵙⴻⵇⵙⵉ	query
ⴰⵙⵜⴻⵇⵙⵉ	question
ⵉⵙⵙⵜⴻⴼ	queue
ⵙ ⵜⵖⴰⵡⵍⴰ	quick
ⵙ ⵜⵖⴰⵡⵍⴰ	quickly
ⵜⴰⵙⵓⵙⵎⵉ	quiet
ⴰⴱⵜⵍⴰⵡ	quilt
ⵙⴻⵔⵙⴻⵖ	quit
ⵎⵍⵉⵃ	quite
ⴰⵟⴰⵙ	quite
ⵉⵙⴻⵇⵙⵉⵢⴻⵏ	quiz
ⵢⴻⵜⵡⴰⴽⵙⴻⴷ	quotation
ⴱⴷⴻⵔ	quote
ⵜⵉⵏⴻⴱⴷⵓⵔⵉⵏ	quotes
ⴰⴽⵜⵓⵍ	rabbit
ⵜⴻⵎⵙⵉⵣⵣⵍⵉⵏ	race
ⵡⵓⵔⵔⵉⴼ	rage
ⴰⴳⴼⵓⵔ	rain
ⴻⴽⴽⴻⵔ	raise
ⵉⴹⴻⵀⵔⴻⴷ	raised
ⵢⵓⵣⵣⴻⵍ	ran
ⵙ ⵣⵣⵀⴻⵔ	random
ⵉⵙⴻⴹⵙⴰⵢ ⴰⵟⴰⵙ	range
ⵢεⵊⴻⵍ	rapid
ⵙ ⵍεⴻⵊⵍⴰⵏ	rapidly
ⵓⵔ ⴷⵯⵢⴻⵜⵜⵉⵍⵉ ⴰⵔⴰ	rare
ⴷⵔⵓ	rarely
ⵜⵜⵓⴼⴻⵖⴰ	rash
ⵉⵖⴻⵔⴷⴰⵢⴻⵏ	rat
ⴰⵎⵇⵉⵎ	rate
ⴰⵅⵉⵔ	rather
ⴰⵙⵙⴰⵖ	ratio
ⴰⵎⴻⵖⵥⴰⵏ	rational
ⴰⵣⴻⴳⵣⴰⵡ	raw
ⴰⵄⴰⵡⵣⴷ	re
ⴰⵡⴻⴹ	reach
ⵢⴻⵡⵡⴻⴹ	reached
ⵜⴰⵙⴻⴷⵎⵉⵔⵜ	reaction
ⵖⴻⵔ	read
ⵜⴰⵖⵓⵔⵉ	reading
ⵉⵀⴻⴳⴳⴰ	ready
ⵜⵉⴷⴻⵜⵜ	real
ⵜⵉⵍⴰⵡⵜ	reality
ⵉⴼⴰⵇ	realize
ⵢⴻⴳⴰ	realized
ⵙ ⵜⵉⴷⴻⵜ	really
ⴷⴻⴼⴼⴽⵔ	rear
ⵙⵙⴻⴱⴱⴰ	reason
ⵉⵜⴻⵎⵜⴰⵡⴰⵏ	reasonable
ⵎⵎⴻⴽⵜⵉ	recall
ⵜⴰⵔⵎⴻⵙⵜ	receipt
ⴰⵡⴻⵏⵜ	receive
ⵢⴻⵜⵜⵡⴰⵟⴼⴻⵏ	received
ⵓⵙⵙⴰⵏⵯⴰ ⵉⵏⴻⴳⴳⵓⵔⴰ	recent
ⵙⴰⴽⴻⵏ ⴽⴰⵏ	recently
ⵜⴰⵔⵎⴻⵙⵜ	reception
ⵜⴰⴼⵜⴰⵔⵜ	recipe
ⵓⵔ ⵏⵃⴰⴷⴻⵔ	reckless
ⴰⵙⵎⵓⵙⵙⴻⵏ	recognition
ⵢⴻⵥⵔⴰ	recognize
ⵛⴽⴻⵔⵔ	recommend
ⵙⵎⴰⴳⴻⵍ	recommended
ⵙⴻⴽⵍⴻⵙ	record
ⵢⴻⵊⵊⴻⵢ	recover
ⵉⵜⵜⴻⵊⵊⴻⵢ	recovery
ⴰⵙⵔⴻⵎ	rectangle
ⴰⵣⴳⴳⴰⵖ	red
ⴰⴷ ⵜⵯⵉⴷⵯⵙⴻⵍⵍⴽⴻⵏ	redeem
ⴰⵙⴼⴻⵍ	redemption
ⵙⴻⵏⴳⴻⵙⵙ	reduce
ⴰⵙⵍⴻⴳ	redundant
ⴰⵡⴻⵀⵉ	refer
ⴰⵎⵏⵉⵔ	reference
ⵢⴻⵙⵙⴻⵏⴷⴰⴷ	reflect
ⴰⵙⴻⵏⴷⴻⴷ	reflection
ⵙⵓⵏⴻⴼ	refrain
ⴰⴼⵔⵉⴳⵓ	refrigerator
ⴰⴷ ⴽⵯⵉⴷⵯⵖⴻⵎⴻⵏ	refund
ⵓⵔ ⵜⵜⵯⵏⴻⵇⴱⵉⵍ	refuse
ⵢⵓⴳⵉ	refused
ⴰⵎⴻⴷⵢⴰ	regard
ⵖⴻⴼ ⵡⴰⵢⴻⵏ ⵢⴻⵔⵣⴰⵏ	regarding
ⵖⴰⵙ ⴰⴽⴽⴻⵏ	regardless
ⵔⵓⵃ ⴷⵉ ⵜⴰⵍⵡⵉⵜ	regards
ⵜⴰⵎⵏⴰⴹⵜ	region
ⴰⵣⵎⴰⵎ	register
ⵙⵃⴰⵙⵙⴼⴻⵖ	regret
ⵏ ⵜⵉⴷⴻⵜ	regular
ⵜⴰⵥⴰⵍⵍⵉⵜ	regularly
ⵓⵔ ⵜⵜⵯⵢⴻⵇⴱⵉⵍ ⴰⵔⴰ	reject
ⴷⵯⵢⴻⵜⵜⵎⴻⵙⵍⴰⵢⴻⵏ	relate
ⴰⵙⵙⴰⵖ	related
ⵜⴰⴷⵓⴽⵍⵉ	relationship
ⴰⵎⵎⴰⵙⴰⵖ	relative
ⵉⵎⴰⵡⵍⴰⵏ	relative
ⵉⵎⴰⵡⵍⴰⵏ	relatives
ⵙⴻⵔⵔⴻⵃ	relax
ⵙⵍⴻⵍⵍⵉ	release
ⵢⴻⵜⵜⵡⴰⵙⴻⵔⵔⴻⵃ	released
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	relevant
ⵢⴻⵙⵄⴰⵏ ⵍⴰⵎⴰⵏ	reliable
ⴰⵙⴻⵔⵜⵉⵃ	relief
ⵙⵙⴻⵅⵙⵉ	relieve
ⵢⴻⵙⵜⴻⵄⴼⴰ	relieved
ⴷⴷⵉⵏ	religion
ⴷⴷⵉⵏ	religious
ⵓⵔ ⵢⴻⵇⴱⵉⵍ ⴰⵔⴰ	reluctant
ⵜⵜⴽⴻⵍ	rely
ⵇⵇⵉⵎⴻⵏ	remain
ⴰⵢ ⴷⵯⵢⴻⵇⵇⵉⵎⴻⵏ	remaining
ⵉⵅⵓⵍⴻⴼ	remarkable
ⴰⵙⴰⴼⴰⵔ	remedy
ⵛⴼⵓ ⵖⴻⴼ	remember
ⴰⵙⵎⴻⴽⵜⵉ	remind
ⵙⵎⴻⴽⵜⵉ	reminder
ⴰⵙⴼⴻⵍ	remote
ⴽⴽⴻⵙ	remove
ⵉⵜⵛⵛⵓⵔ	render
ⵉⵔⴹⴻⵍ	rent
ⴰⵙⴻⴱⴷⴻⴷ	repair
ⵄⴰⵡⴷ	repeat
ⵢⴻⴱⴻⴷ	replace
ⵢⴻⵔⵔⴰ	reply
ⴰⵔⵓ	report
ⴷ ⴰⵎⴻⴷⵢⴰ	represent
ⵜⵉⵙⴻⵍⵍⴻⵜ	reputation
ⵙⴻⵇⵙⵉ	request
ⵢⴻⵙⵙⴻⴼⴽ	require
ⵢⴻⵙⵙⴻⴼⴽ	required
ⴰⵙⴻⵍⵍⴻⴽ	rescue
ⵓⵏⴰⴷⵉ	research
ⴰⵎⵣⵓⵏ	resemble
ⴰⵎⴻⵏⵏⵓⵖ	resentment
ⵉⵃⴻⵕⵕ	reservation
ⵃⴻⵔⵔⴻⵖ	reserve
ⵉⵎⴻⵣⴷⴰⵖⴻⵏ	resident
ⵢⴻⴼⴼⴻⵖ ⵙⴻⴳ ⵍⵅⴻⴷⵎⴰ	resign
ⵜⴰⵥⴰⵢⵜ	resilience
ⴰⵏⴳⴻⵥⵡⴻⵔ	resilient
ⵇⴰⴱⵍ	resist
ⵔⴻⵙⵉⵙⵜⴰⵏⵛⴻ	resistance
ⴰⵡⴻⵏⵏⵣⵄ	resolution
ⴼⵔⵓ	resolve
ⵢⴻⵇⴷⴻⵛ	resort
ⵜⵉⴳⵎⴰⵡⵉⵢⵉⵏ	resources
ⵢⵜⴻⵇⴰⴷⴰⵔ	respect
ⵔⵔⴻⵜⵯⴷ	respond
ⵜⵉⵔⵉⵔⵉⵜ	response
ⵙⵙⴻⴱⴰ	responsibility
ⵡⵉⵏ ⵢⴻⵙⵄⴰⴱ ⴰⵣⴰⵍ	responsible
ⴰⵙⴻⴳⵓⵏⴼⵓ	rest
ⵙⴳⵓⵏⴼⵓ ⴷⴻⴳ ⵜⴰⵍⵡⵉⵜ	rest in peace
ⵜⴰⵏⴻⵛⵛⵉⵜ	restaurant
ⵙⴻⵍⵀⵓ	restore
ⴽⵔⴻⴼ	restrict
ⴰⴳⵎⵓⴹ	result
ⵉⴳⵎⴰⴹ	results
ⴰⵙⴻⵖⵜⵉ	resume
ⴰⵙⵎⴻⴽ	retail
ⴰⴷ ⵢⴻⵇⵇⵉⵎ	retain
ⴰⵙⴻⵃⴱⵉⴱⴻⵔ	retention
ⵢⴻⵜⴰⵅⴻⵕ	retired
ⵡⴻⵅⵅⴻⵔ	retreat
ⴰⴷ ⴷⵯⵜⴻⴽⴽⴻⵙ	retrieve
ⵓⵖⴰⵍ	return
ⴰⴷ ⴷⵯⵙⴱⴻⴳⴳⴻⵏ	reveal
ⵢⴻⴱⴰⵏⵯⴷ	revealed
ⵜⵜⴰⵕ	revenge
ⵔⵔⴻⴱⴻⵃ	revenue
ⵉⵇⵍⴻⴱ	reverse
ⵙⴻⵏⵜⵇⴻⴷ	review
ⵜⵛⴻⴳⴳⴻⵕ	revise
ⴰⵍⵍⴰⵙ	revision
ⵜⴰⴳⵔⴰⵡⵍⴰ	revolution
ⵜⴰⵔⵔⴰⵣⴻⵜ	reward
ⴰⵛⴰⵍⴰ	rhythm
ⵜⴰⵖⴻⵛⵜ	rib
ⵔⵔⵓⵣ	rice
ⴷ ⵉⵎⴻⵔⴽⴰⵏⵜⵉⵢⴻⵏ	rich
ⴰⵙⴼⴻⵍ	rid
ⵢⴻⵔⴽⴻⴱ	ride
ⴷ ⴰⵢⴻⵏ ⵓⵔ ⵏⵣⵙⵄⵉ ⴰⵣⴰⵍ	ridiculous
ⵙⵡⴰⵙⵡⴰ	right
ⴰⵢⴼⵓⵙ	right
ⵜⵓⵔⴰ	right now
ⵢⴻⵇⵇⵓⵔⴻⵏ	rigid
ⵜⴰⵅⴰⵜⴻⵎⵜ	ring
ⵙⵍⴰⵍⴻⵖ	rinse
ⴰⵖⴻⵍⵡⴰⵖ	riot
ⵙⴻⵖⵔⴻⵙ	rip
ⴰⵏⴻⵥⵉⵥ	ripe
ⴰⵍⵉ	rise
ⵇⴻⵎⵎⴻⵔ	risk
ⴰⵎⴻⵏⵣⴰⵖ	rival
ⴰⵙⵉⴼ	river
ⴰⴱⵔⵉⴷ	road
ⵢⴻⵥⵖⴰⵏ	roast
ⴰⵊⵉⵡⴰⵔ	robust
ⴰⵥⵔⵓ	rock
ⴰⵄⴻⴽⴽⴰⵣ	rod
ⴰⵅⴻⴷⴷⵉⵎ	role
ⴰⵎⵜⴻⵍⵜⴻⵍ	roll
ⵙⵙⵇⴻⴼ	roof
ⵜⴰⵅⵅⴰⵎⵜ	room
ⴰⵥⴰⵕ	root
ⵜⴰⵎⵔⴰⵔⵜ	rope
ⵉⵔⴽⴰ	rotten
ⵇⴻⵙⵙⵉⵃ	rough
ⴰⵣⴰⵍ	roughly
ⴰⵎⴳⴻⵔⵔⴰⴷ	round
ⴰⴱⵔⵉⴷ	route
ţⴰⵏⵏⵓⵎⵉ	routine
ⵡⴰ ⴷⴻⴼⴼⵉⵔ ⵏ ⵡⴰ	row
ⵃⵓⴽ	rub
ⴰⵎⴻⵣⵣⵉⵍ	rubber
ⵉⵏⵊⴰⵏ	rubbish
ⵓⵔ ⵏⴻⵎⵄⵉⵏ	rude
ⴰⵎⵇⴻⵍⵍⴻⵇ	rug
ⵙⵡⵉⵖ	ruin
ⴰⵍⵓⴳⴰⵏ	rule
ⴰⵍⵓⴳⴰⵏ	ruler
ⵉⵍⵓⴳⴰⵏ	rules
ⵜⵓⵣⵍⴰ	run
ⵜⴰⵔⵡⴻⵍⴰ	running
ⵜⴰⵖⵉⵡⴰⵏⵜ	rural
ⵙⴻεⵊⴻⵍ	rush
ⵜⴰⵛⴰⵛⵉⵜ	sack
ⴰⵖⵓⴷⴷⵉⴷ	sacred
ⴰⵙⴼⴻⵍ	sacrifice
ⵍⴰⵎⴰⵏ	safe
ⵉⴼⴼⵉⴳ ⵏ ⵍⴰⵎⴰⵏ	safe flight
ⵍⴰⵎⴰⵏ	safety
ⴰⵎⴰⵙⵏⴰⴳ	sage
ⵢⴻⵏⵏⴰⵯⴷ	said
ⵓⵖⴻⵔⵔⴰⴱⵓ	sail
ⵜⴰⵏⴰⵡⵜ	sailing
ⵖⴻⴼ ⵍⵊⴰⵍ	sake
ⵜⴰⵛⴻⵀⵔⵉⵜ	salary
ⴰⵣⴻⵏⵣⴰⵢ	sale
ⴰⵙⵍⴻⵎ	salmon
ⵍⴻⵎⵍⴻⵃ	salt
ⴰⵎ	same
ⵓⵍⴰ ⴷ ⴷⴰⵢⵉ	Same here
ⵜⵓⴽⴽⵉⵙⵜ	sample
ⵕⵕⵎⴻⵍ	sand
ⵙⴰⵏⵙⴽⵔⵉⵜ	Sanskrit
ⴰⴽⴻⵍⵍⵉⵅ	sarcastic
ⵇⵊⴻⵔ	sassy
ⵢⴻⵇⵇⵉⵎ	sat
ⵍⴼⴻⵕⵃ	satisfaction
ⴼⴻⵔⵃⴻⵏ	satisfied
ⵢⴻⵙⵙⴻⴼⵇⴻⴷ	satisfy
ⵢⴻⵙⵙⴻⴼⵇⴻⴷ	satisfying
ⵙⴻⴷ	Saturday
ⵜⴰⴽⵓⵔⴷⴰⵙⵜ	sausage
ⴰⵎⵛⵓⵎ	savage
ⵙⴻⵍⴽⴻⵜ	save
ⵉⵡⴰⵍⴰ	saw
ⵉⵏⵉ	say
